right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
69.11,57.93,161.25,157.7,148.07,113.49,163.755
86.57,78.28,115.63,85.55,100.0,76.9,111.16499999999999
83.61,55.84,156.11,142.37,92.92,79.16,149.35
95.38,40.99,174.32,174.92,155.11,100.93,165.325
33.36,49.33,166.66,166.8,103.87,149.61,165.465
36.38,33.83,177.37,178.38,148.78,150.73,166.71499999999997
40.29,44.17,168.75,168.56,119.78,112.89,169.69
49.06,96.1,167.96,165.63,126.38,72.31,151.60500000000002
8.34,26.36,172.03,171.81,132.7,146.27,173.06
24.76,36.25,172.41,171.01,127.82,122.72,173.77499999999998
32.46,18.02,168.16,168.14,173.93,122.58,170.51999999999998
40.67,23.15,146.9,148.97,171.93,117.77,150.89499999999998
10.56,3.46,175.02,174.35,164.32,166.16,166.27499999999998
27.15,26.07,44.47,58.54,142.19,125.96,48.105000000000004
44.58,51.61,172.88,171.44,155.22,118.6,174.68
27.26,17.77,179.16,178.38,158.87,135.67,165.29500000000002
34.84,57.52,178.29,177.07,123.02,132.79,163.8
53.31,18.69,149.63,166.86,124.16,136.96,149.885
60.09,50.18,79.31,58.03,127.24,133.29,57.49
76.43,70.65,47.0,28.83,137.92,149.12,37.695
82.1,74.92,23.32,19.77,140.58,145.91,28.23
75.3,73.01,26.99,18.9,138.46,139.91,28.47
82.06,68.33,24.63,18.09,133.96,147.19,27.82
77.72,63.72,32.79,23.55,134.47,146.23,33.57
75.27,58.48,29.53,26.3,136.57,144.14,33.96
71.36,63.61,28.28,24.95,141.6,138.16,35.42
74.15,64.04,24.27,22.31,139.25,141.81,35.475
72.84,68.42,25.55,23.96,139.71,142.22,34.165
72.41,66.08,24.16,26.02,140.25,138.32,34.614999999999995
64.04,57.57,33.62,33.87,141.29,146.47,39.855000000000004
65.06,64.07,30.98,30.65,145.26,139.84,37.125
64.29,57.55,30.76,29.97,143.71,147.44,36.22
67.47,56.63,33.31,31.5,138.34,145.95,42.455
49.15,36.35,53.49,52.68,127.86,141.8,55.224999999999994
60.04,48.89,37.62,35.72,132.83,141.34,43.59
59.33,42.73,40.08,40.27,127.61,145.03,46.99
63.01,45.08,36.03,38.48,130.63,141.14,39.565
55.68,35.93,46.69,48.01,123.23,135.2,48.745000000000005
65.09,47.3,37.3,37.92,127.09,141.01,41.405
56.43,39.92,42.55,42.41,124.91,142.22,45.370000000000005
60.93,44.74,38.98,40.81,126.58,140.57,42.5
73.33,57.39,32.96,36.2,134.76,143.98,35.39
70.68,58.04,31.28,32.49,136.46,143.26,34.504999999999995
71.79,59.89,27.86,30.65,135.78,143.03,34.31
69.82,54.75,31.41,33.27,133.8,144.26,35.2
