right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
39.58,97.41,148.47,164.62,131.64,171.11,162.57999999999998
33.27,101.21,151.22,164.29,131.63,171.68,161.275
36.38,97.62,153.27,164.29,132.92,171.41,163.025
41.66,96.43,152.9,163.03,133.0,168.59,162.77
40.62,98.49,149.92,164.15,136.21,169.31,162.93
39.9,97.43,148.57,161.64,134.86,169.5,163.215
42.08,97.76,150.99,163.09,136.35,168.63,163.29500000000002
36.66,101.39,156.48,167.22,134.98,172.04,161.99
39.65,97.55,150.27,164.64,137.08,167.94,163.60000000000002
36.75,97.53,154.64,167.32,135.32,171.2,162.805
41.41,95.83,147.25,155.86,135.29,170.05,162.765
41.57,94.62,148.72,163.07,134.92,168.6,164.165
41.07,97.46,148.15,162.77,134.89,170.64,163.9
43.41,96.41,147.76,158.39,137.55,171.39,163.485
34.78,95.68,149.33,167.81,135.91,172.63,164.56
41.63,93.25,151.17,164.1,134.96,171.17,163.07999999999998
43.19,97.68,144.64,156.37,136.86,168.82,163.69
44.27,95.23,146.08,149.43,135.74,165.54,162.95499999999998
44.76,93.89,144.52,148.18,134.02,163.98,163.06
45.43,94.5,144.64,152.52,136.83,163.68,163.42000000000002
40.36,97.19,145.97,151.53,133.15,165.18,162.975
38.94,100.37,145.47,149.2,137.04,166.52,163.16500000000002
42.18,97.05,144.09,148.9,135.97,166.84,163.945
41.11,98.48,145.28,149.64,138.0,167.29,163.915
42.96,99.57,148.41,159.94,140.1,168.26,163.9
42.95,95.4,147.92,162.32,138.79,168.79,163.905
39.96,94.34,143.69,166.53,134.73,169.34,163.19
39.49,94.7,148.29,162.35,136.0,170.65,163.525
40.37,95.25,150.76,167.22,135.23,169.55,162.065
41.51,96.14,148.88,162.36,138.33,168.05,164.375
43.47,93.57,148.28,152.63,136.78,166.95,163.8
41.61,96.32,148.99,159.87,137.74,168.41,163.39999999999998
40.57,95.31,148.92,160.94,135.82,171.33,162.79500000000002
41.8,97.49,148.22,156.47,137.94,172.4,163.395
39.8,98.21,146.72,158.5,137.74,174.54,163.68
40.58,95.35,149.9,156.98,135.95,172.2,162.37
41.84,95.28,149.19,154.6,133.81,172.75,162.16
44.48,92.83,148.67,153.84,135.09,168.01,162.88
44.35,93.29,146.54,156.28,135.36,171.25,162.32
43.91,94.26,145.77,157.27,134.84,169.37,162.82999999999998
37.02,96.63,151.44,163.36,133.77,169.16,162.745
40.32,93.88,152.02,158.47,131.79,168.78,161.425
41.76,97.38,149.74,159.77,133.66,170.09,162.575
39.82,94.13,150.11,165.09,134.16,171.83,163.255
41.53,94.82,148.35,164.97,135.27,169.05,163.26
40.08,94.18,149.75,160.46,134.85,171.22,162.54000000000002
34.08,96.59,150.94,168.88,131.54,170.05,161.925
32.11,97.8,149.04,165.65,131.37,170.71,161.94
33.2,96.76,153.41,169.55,132.08,171.57,160.895
36.09,98.79,157.27,169.57,129.37,172.11,160.65
35.39,98.48,149.01,163.91,132.79,169.87,161.86
38.58,97.48,148.56,159.96,130.79,168.93,162.35500000000002
35.32,98.03,149.21,164.9,131.43,170.74,161.74
30.32,99.17,154.83,167.52,129.82,170.75,160.64999999999998
32.59,98.55,153.02,164.34,131.24,173.26,161.76
30.72,98.85,155.92,167.86,132.14,173.12,161.715
34.45,98.48,152.03,166.25,133.82,172.68,161.595
29.17,98.98,154.38,168.04,131.73,173.19,161.175
28.23,99.85,151.21,164.88,132.59,173.07,162.165
28.17,100.05,156.91,169.55,130.19,172.93,160.31
34.67,98.55,149.69,163.35,130.72,170.76,162.245
35.89,98.52,150.55,158.04,130.17,171.08,161.08499999999998
30.74,98.46,152.88,165.34,127.53,171.38,160.19
32.73,99.2,145.22,162.85,129.57,170.12,160.945
34.55,96.61,153.58,161.74,127.11,171.69,160.625
33.71,98.07,151.17,163.81,128.66,171.01,160.71
33.59,99.11,154.93,168.6,126.24,170.11,160.36
35.04,99.84,152.58,163.8,131.29,168.44,160.18
34.74,99.1,155.64,167.31,126.82,169.66,159.70499999999998
33.69,99.04,148.96,167.22,127.01,170.05,159.85500000000002
36.76,97.9,149.65,156.93,131.13,169.97,161.58
37.46,100.03,152.63,158.4,130.25,169.88,160.815
34.57,101.89,150.55,159.22,129.61,168.39,160.17000000000002
33.65,99.47,152.83,166.9,128.89,169.47,160.585
32.93,100.09,147.5,161.34,130.95,169.54,160.585
32.9,101.66,149.61,164.66,127.58,171.68,160.575
32.11,101.58,153.96,166.09,130.04,171.73,159.515
31.16,102.56,151.72,166.73,127.43,172.75,160.10500000000002
31.54,98.67,154.19,168.75,126.84,170.7,160.32999999999998
37.02,97.85,152.55,162.45,129.2,169.82,161.48000000000002
33.2,99.39,153.88,165.18,128.06,171.93,160.29000000000002
34.68,99.8,151.11,160.65,127.24,169.76,159.32999999999998
32.82,103.56,155.4,168.02,130.26,171.56,159.46499999999995
32.61,101.66,153.41,167.24,128.77,169.86,161.345
38.1,97.24,152.89,168.09,125.34,166.12,159.16
29.43,103.7,150.14,163.17,132.71,172.28,160.37
30.2,100.68,155.71,168.1,132.59,172.94,160.905
35.93,96.96,151.44,164.89,130.59,171.06,162.04000000000002
33.31,97.12,147.69,163.18,126.73,169.61,160.2
39.41,93.17,154.13,169.72,128.77,168.6,159.565
31.77,98.94,155.98,172.59,128.48,169.29,158.89999999999998
33.28,97.66,155.53,166.61,128.74,171.07,159.835
36.25,95.28,152.99,165.82,130.6,170.42,159.92000000000002
36.58,96.62,155.04,165.28,130.28,168.77,161.965
34.73,96.77,150.76,164.87,128.31,168.31,159.64
34.78,97.64,155.66,166.31,134.12,170.88,161.64499999999998
34.97,95.41,156.65,168.65,129.31,170.36,160.555
36.56,94.67,155.63,167.21,131.02,166.89,159.70999999999998
32.16,100.66,155.29,167.57,137.73,166.31,161.07999999999998
36.46,92.7,154.55,172.89,135.59,161.34,161.41
33.51,95.98,149.4,159.78,139.0,160.09,160.785
30.73,97.35,115.55,119.63,132.99,155.3,146.015
25.44,100.54,124.16,145.44,133.75,149.35,140.55
22.15,103.96,144.7,154.47,131.25,143.81,159.28
28.46,102.58,125.28,137.06,133.0,141.96,141.44
28.2,107.07,154.47,167.46,134.96,137.84,161.715
44.53,104.99,149.6,163.59,137.61,137.45,162.445
57.99,91.92,154.22,168.68,139.39,144.55,165.115
57.69,99.94,141.14,150.93,138.8,145.89,163.055
52.99,97.41,124.51,140.09,140.45,147.36,143.33499999999998
