right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
43.01,38.24,78.41,69.86,131.62,137.76,79.275
60.45,44.17,66.74,58.01,125.97,143.56,65.945
57.59,44.15,79.19,68.09,127.14,143.4,78.4
34.26,29.48,119.19,109.62,136.42,134.0,121.95
31.98,27.88,116.04,104.07,137.1,134.01,119.45
32.28,28.36,122.96,114.0,139.25,134.82,126.115
33.34,28.38,110.61,100.32,137.84,134.25,113.21
32.32,27.61,119.16,108.97,139.45,135.01,122.595
33.28,27.18,127.46,117.77,137.74,132.89,129.945
33.37,26.52,127.27,118.07,136.85,134.49,129.09
33.34,30.63,118.67,107.48,134.95,133.18,120.435
34.41,29.82,111.86,99.43,133.54,127.68,114.2
38.21,28.9,125.79,111.82,129.83,130.98,124.16
39.87,29.41,108.49,95.21,130.79,135.42,108.995
40.06,30.43,120.05,104.77,126.88,128.17,118.635
40.19,28.03,104.7,89.68,128.07,135.35,101.735
40.43,23.1,120.98,103.38,117.54,125.67,115.675
41.75,26.39,115.25,95.82,119.95,124.98,108.535
42.33,26.36,113.02,95.09,118.74,126.33,107.045
45.44,29.14,114.71,96.45,120.89,129.08,108.41
30.74,24.39,129.23,116.48,131.27,129.61,129.6
31.57,25.21,121.63,106.9,131.23,130.13,119.98
31.41,24.75,124.06,111.78,130.79,130.4,123.685
34.24,27.5,126.86,115.03,128.2,129.69,125.85
32.43,27.29,132.17,119.88,134.86,132.37,131.725
38.17,32.38,117.67,100.86,132.26,128.22,114.545
41.17,29.35,102.67,87.39,132.08,131.37,97.595
42.89,35.52,119.14,104.23,130.47,133.75,114.49
42.62,41.08,127.36,115.34,133.77,136.95,124.45
41.79,37.81,113.83,101.01,129.63,134.94,111.18
41.42,34.97,104.93,92.26,128.98,134.22,101.64
43.14,39.32,99.73,88.05,129.99,136.21,97.94
39.91,28.75,98.11,86.29,134.43,139.33,95.93
43.96,38.49,111.51,98.04,129.43,136.41,108.145
44.4,31.77,94.26,80.83,131.46,133.27,90.52
41.22,31.91,83.88,73.03,131.04,135.96,82.33
41.33,34.38,83.74,72.52,130.78,136.73,84.045
40.89,29.33,92.73,80.89,135.85,140.3,91.725
49.18,37.23,102.57,88.38,125.31,137.8,99.62
51.22,39.4,88.43,75.32,129.22,140.59,86.695
51.78,39.16,89.36,76.08,127.9,139.43,88.14
51.82,36.93,91.88,77.14,123.05,138.41,89.675
52.73,34.69,92.84,79.27,121.0,140.55,91.32
49.53,33.44,110.09,95.8,124.0,142.24,107.21
48.69,30.8,104.66,88.58,125.21,142.99,100.875
55.46,38.79,102.53,87.73,128.09,145.35,98.39
41.46,23.34,105.47,87.8,124.17,134.66,101.745
55.72,32.34,100.7,82.1,120.48,141.76,96.035
59.14,38.95,81.21,68.71,121.4,139.66,79.875
51.35,33.15,92.33,79.08,129.48,144.89,91.075
56.08,35.77,84.38,71.68,122.03,139.2,83.805
48.12,30.83,103.13,88.41,120.11,134.09,101.26
53.64,32.43,104.77,87.81,122.36,137.28,100.545
53.25,30.44,98.77,81.64,120.91,140.98,94.75
54.31,30.06,94.29,76.48,115.98,138.13,89.975
52.98,32.79,99.6,82.98,117.86,132.67,95.465
50.92,30.21,103.22,85.7,118.61,134.36,99.24
56.54,35.68,85.57,73.31,120.78,139.2,84.775
55.97,37.4,84.31,72.2,123.41,138.63,83.77
55.23,35.83,88.73,76.4,123.63,139.63,88.13499999999999
52.73,32.74,93.35,79.05,127.73,141.66,92.21
52.17,34.53,84.57,72.32,126.32,138.44,83.22999999999999
49.84,30.42,110.38,92.88,118.31,133.08,105.175
53.41,34.35,100.45,84.51,117.53,133.42,96.59
54.04,35.8,90.01,75.07,120.08,132.39,86.975
56.95,37.25,92.46,77.28,116.77,134.07,88.42500000000001
53.4,32.35,105.97,88.2,115.72,134.35,101.13
52.19,38.26,88.69,77.92,127.02,140.18,86.81
48.46,32.76,84.91,72.72,129.13,137.74,81.555
44.61,28.11,92.94,79.48,124.15,134.65,90.255
42.45,27.68,95.56,81.29,129.91,132.47,91.44
53.0,40.68,77.86,67.32,128.66,137.79,76.025
